question_id,difficulty,category,method,iteration,is_correct,error,latency_ms,prompt_chars,generated_sql,gold_sql,question
CR01,simple,default_risk,text_to_sql,0,False,,2421,2441,"SELECT COUNT(loan.loan_id)
   FROM loan
   JOIN account ON loan.account_id = account.account_id
   WHERE loan.amount > loan.payments AND loan.date <= DATE('now')",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
CR01,simple,default_risk,semantic_layer,0,False,,1166,7663,"SELECT COUNT(loan.loan_id)
FROM loan
WHERE loan.status IN ('B', 'D')",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
CR01,simple,default_risk,text_to_sql,1,False,,1308,2441,"SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.duration > 0 AND loan.payments < loan.amount",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
CR01,simple,default_risk,semantic_layer,1,False,,1214,7663,"SELECT COUNT(loan.loan_id)
   FROM loan
   JOIN account ON loan.account_id = account.account_id
   WHERE loan.status IN ('B', 'D')",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
CR01,simple,default_risk,text_to_sql,2,False,,914,2441,"SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.status = 'default' AND loan.date <= DATE('now') AND loan.amount > loan.payments",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
CR01,simple,default_risk,semantic_layer,2,False,,1345,7663,"SELECT COUNT(loan.loan_id)
   FROM loan
   JOIN account ON loan.account_id = account.account_id
   WHERE loan.status IN ('B', 'D')",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
CR01,simple,default_risk,text_to_sql,3,False,,1094,2441,"SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.status = 'default' AND loan.date <= DATE('now', 'localtime') AND loan.amount > loan.payments",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
CR01,simple,default_risk,semantic_layer,3,False,,1389,7663,"SELECT COUNT(loan.loan_id)
FROM loan
WHERE loan.status IN ('B', 'D')
-- NOTE: ""currently in default"" means the loan contract is running but the status indicates default (B or D).",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
CR01,simple,default_risk,text_to_sql,4,False,,794,2441,"SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.payments < loan.amount",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
CR01,simple,default_risk,semantic_layer,4,False,,1202,7663,"SELECT COUNT(loan.loan_id)
   FROM loan
   JOIN account ON loan.account_id = account.account_id
   WHERE loan.status IN ('B', 'D')",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?
