question_id,difficulty,category,iteration,is_correct,compile_error,execution_error,concept_sql,compiled_sql,gold_sql,question,latency_ms,prompt_chars,substitutions,reclass_verdict_v2,n_violations_v2,violation_detail_v2
95,moderate,unlabeled,0,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT account.account_id
   FROM account
   JOIN disp ON account.disp_link
   JOIN client ON disp.client_link
   JOIN district ON client.district_link
   WHERE client.birth_date = (SELECT MIN(client.birth_date) FROM client)
   AND district.avg_salary = (SELECT MAX(district.avg_salary) FROM district)",,"SELECT T1.account_id  FROM account AS T1 INNER JOIN disp AS T2 ON T1.account_id = T2.account_id INNER JOIN client AS T3 ON T2.client_id = T3.client_id INNER JOIN district AS T4 on T4.district_id = T1.district_id WHERE T2.client_id = ( SELECT client_id FROM client ORDER BY birth_date DESC LIMIT 1) GROUP BY T4.A11, T1.account_id",List out the account numbers of clients who are youngest and have highest average salary?,1144,11738,JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link client.district -> ON client.district_id = district.district_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM district.avg_salary -> district.A11 | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM client.birth_date -> client.birth_date (no-op: concept name equals raw column) | DIM client.client_id -> client.client_id (no-op: concept name equals raw column),FALSE_POSITIVE_LIKELY,0,
102,simple,unlabeled,0,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT DISTINCT account.account_id
   FROM account
   JOIN trans ON trans.account_link
   WHERE account.open_date < '1997-01-01' AND trans.total_amount > 3000",,"SELECT DISTINCT T2.account_id FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T2.date) < '1997' AND T1.amount > 3000",State different accounts who have account opening date before 1997 and own an amount of money greater than 3000USD,962,11645,JOIN link trans.account -> ON trans.account_id = account.account_id | MEASURE trans.total_amount -> SUM(trans.amount) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM account.open_date -> account.date,TRUE_VIOLATION_CONFIRMED,1,measure 'total_amount' in WHERE: WHERE account.open_date < '1997-01-01' AND trans.total_amount > 3000
102,simple,unlabeled,3,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT DISTINCT account.account_id
FROM account
JOIN trans ON trans.account_link
WHERE account.open_date < '1997-01-01' AND trans.total_amount > 3000",,"SELECT DISTINCT T2.account_id FROM trans AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T2.date) < '1997' AND T1.amount > 3000",State different accounts who have account opening date before 1997 and own an amount of money greater than 3000USD,959,11645,JOIN link trans.account -> ON trans.account_id = account.account_id | MEASURE trans.total_amount -> SUM(trans.amount) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM account.open_date -> account.date,TRUE_VIOLATION_CONFIRMED,1,measure 'total_amount' in WHERE: WHERE account.open_date < '1997-01-01' AND trans.total_amount > 3000
104,simple,unlabeled,0,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT account.open_date
   FROM account
   JOIN trans ON trans.account_link
   WHERE trans.trans_date = '1998-10-14' AND trans.total_amount = 840",,SELECT T1.date FROM account AS T1 INNER JOIN trans AS T2 ON T1.account_id = T2.account_id WHERE T2.amount = 840 AND T2.date = '1998-10-14',"The transaction of 840 USD happened in 1998/10/14, when was this account opened?",914,11611,JOIN link trans.account -> ON trans.account_id = account.account_id | MEASURE trans.total_amount -> SUM(trans.amount) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM account.open_date -> account.date | DIM trans.trans_date -> trans.date,TRUE_VIOLATION_CONFIRMED,1,measure 'total_amount' in WHERE: WHERE trans.trans_date = '1998-10-14' AND trans.total_amount = 840
104,simple,unlabeled,1,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT account.open_date
FROM account
JOIN trans ON trans.account_link
WHERE trans.trans_date = '1998-10-14' AND trans.total_amount = 840",,SELECT T1.date FROM account AS T1 INNER JOIN trans AS T2 ON T1.account_id = T2.account_id WHERE T2.amount = 840 AND T2.date = '1998-10-14',"The transaction of 840 USD happened in 1998/10/14, when was this account opened?",847,11611,JOIN link trans.account -> ON trans.account_id = account.account_id | MEASURE trans.total_amount -> SUM(trans.amount) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM account.open_date -> account.date | DIM trans.trans_date -> trans.date,TRUE_VIOLATION_CONFIRMED,1,measure 'total_amount' in WHERE: WHERE trans.trans_date = '1998-10-14' AND trans.total_amount = 840
104,simple,unlabeled,2,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT account.open_date 
FROM trans 
JOIN account ON trans.account_link 
WHERE trans.trans_date = '1998-10-14' AND trans.total_amount = 840;",,SELECT T1.date FROM account AS T1 INNER JOIN trans AS T2 ON T1.account_id = T2.account_id WHERE T2.amount = 840 AND T2.date = '1998-10-14',"The transaction of 840 USD happened in 1998/10/14, when was this account opened?",932,11611,JOIN link trans.account -> ON trans.account_id = account.account_id | MEASURE trans.total_amount -> SUM(trans.amount) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM account.open_date -> account.date | DIM trans.trans_date -> trans.date,TRUE_VIOLATION_CONFIRMED,1,measure 'total_amount' in WHERE: WHERE trans.trans_date = '1998-10-14' AND trans.total_amount = 840
107,simple,unlabeled,2,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT client.gender
FROM client
JOIN disp ON client.client_id = disp.client_link
JOIN account ON disp.account_link
JOIN district ON account.district_link
WHERE account.open_date = (
    SELECT MIN(account.open_date)
    FROM account
    JOIN disp ON account.account_id = disp.account_link
    JOIN client ON disp.client_link = client.client_id
    JOIN district ON account.district_link = district.district_id
    GROUP BY district.avg_salary_mean
    ORDER BY district.avg_salary_mean DESC
    LIMIT 1
)",,"SELECT T2.gender FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id ORDER BY T1.A11 DESC, T2.birth_date ASC LIMIT 1",What is the gender of the oldest client who opened his/her account in the highest average salary branch?,1557,11698,JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link account.district -> ON account.district_id = district.district_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link account.district -> ON account.district_id = district.district_id | MEASURE district.avg_salary_mean -> AVG(district.A11) | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM account.open_date -> account.date | DIM client.client_id -> client.client_id (no-op: concept name equals raw column) | DIM client.gender -> client.gender (no-op: concept name equals raw column),TRUE_VIOLATION_CONFIRMED,2,measure 'avg_salary_mean' in WHERE: WHERE account.open_date = (SELECT MIN(account.open_date) FROM account JOIN disp ON account.account_id = disp.account_link JOIN client ON disp.client_link = client.client_id JOIN district ON account.district_link = district.district_id GROUP BY district.avg_salary_mean ORDER BY district.avg_salary_mean DESC LIMIT 1) | measure 'avg_salary_mean' in WHERE: WHERE account.open_date = (SELECT MIN(account.open_date) FROM account JOIN disp ON account.account_id = disp.account_link JOIN client ON disp.client_link = client.client_id JOIN district ON account.district_link = district.district_id GROUP BY district.avg_salary_mean ORDER BY district.avg_salary_mean DESC LIMIT 1)
107,simple,unlabeled,3,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT client.gender
FROM client
JOIN disp ON disp.client_link
JOIN account ON disp.account_link
JOIN district ON account.district_link
WHERE account.open_date = (
    SELECT MIN(account.open_date)
    FROM account
    JOIN district ON account.district_link
    WHERE district.avg_salary = (SELECT MAX(district.avg_salary_mean) FROM district)
)",,"SELECT T2.gender FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id ORDER BY T1.A11 DESC, T2.birth_date ASC LIMIT 1",What is the gender of the oldest client who opened his/her account in the highest average salary branch?,1295,11698,JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link account.district -> ON account.district_id = district.district_id | JOIN link account.district -> ON account.district_id = district.district_id | MEASURE district.avg_salary_mean -> AVG(district.A11) | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM district.avg_salary -> district.A11 | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM account.open_date -> account.date | DIM client.client_id -> client.client_id (no-op: concept name equals raw column) | DIM client.gender -> client.gender (no-op: concept name equals raw column),TRUE_VIOLATION_CONFIRMED,2,measure 'avg_salary_mean' in WHERE: WHERE account.open_date = (SELECT MIN(account.open_date) FROM account JOIN district ON account.district_link WHERE district.avg_salary = (SELECT MAX(district.avg_salary_mean) FROM district)) | measure 'avg_salary_mean' in WHERE: WHERE district.avg_salary = (SELECT MAX(district.avg_salary_mean) FROM district)
107,simple,unlabeled,4,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT client.gender
   FROM client
   JOIN disp ON disp.client_link
   JOIN account ON disp.account_link
   JOIN district ON account.district_link
   WHERE account.open_date = (
       SELECT MIN(account.open_date)
       FROM account
       JOIN disp ON disp.account_link
       JOIN client ON disp.client_link
       JOIN district ON account.district_link
       GROUP BY district.district_id
       ORDER BY district.avg_salary_mean DESC
       LIMIT 1
   );",,"SELECT T2.gender FROM district AS T1 INNER JOIN client AS T2 ON T1.district_id = T2.district_id ORDER BY T1.A11 DESC, T2.birth_date ASC LIMIT 1",What is the gender of the oldest client who opened his/her account in the highest average salary branch?,1830,11698,JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link account.district -> ON account.district_id = district.district_id | JOIN link disp.account -> ON disp.account_id = account.account_id | JOIN link disp.client -> ON disp.client_id = client.client_id | JOIN link account.district -> ON account.district_id = district.district_id | MEASURE district.avg_salary_mean -> AVG(district.A11) | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM account.open_date -> account.date | DIM client.client_id -> client.client_id (no-op: concept name equals raw column) | DIM client.gender -> client.gender (no-op: concept name equals raw column),TRUE_VIOLATION_CONFIRMED,1,measure 'avg_salary_mean' in WHERE: WHERE account.open_date = (SELECT MIN(account.open_date) FROM account JOIN disp ON disp.account_link JOIN client ON disp.client_link JOIN district ON account.district_link GROUP BY district.district_id ORDER BY district.avg_salary_mean DESC LIMIT 1)
110,simple,unlabeled,1,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT disp.disp_id
   FROM trans
   JOIN account ON trans.account_link
   JOIN disp ON account.disp_link
   WHERE trans.total_amount = 5100 AND trans.trans_date = '1998-09-02'",,SELECT T1.disp_id FROM disp AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id INNER JOIN trans AS T3 ON T2.account_id = T3.account_id WHERE T3.date='1997-08-20' AND T3.amount = 5100,What is the disposition id of the client who made 5100 USD transaction in 1998/9/2?,1106,11614,JOIN link trans.account -> ON trans.account_id = account.account_id | JOIN link disp.account -> ON disp.account_id = account.account_id | MEASURE trans.total_amount -> SUM(trans.amount) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM trans.trans_date -> trans.date | DIM disp.disp_id -> disp.disp_id (no-op: concept name equals raw column),TRUE_VIOLATION_CONFIRMED,1,measure 'total_amount' in WHERE: WHERE trans.total_amount = 5100 AND trans.trans_date = '1998-09-02'
