question_id,difficulty,category,iteration,model,is_correct,compile_error,execution_error,concept_sql,compiled_sql,gold_sql,question,latency_ms,prompt_chars,substitutions
CR01,simple,default_risk,0,gpt-4o,False,,,SELECT loan.default_count FROM loan,"SELECT COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) FROM loan",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,1967,14681,"MEASURE loan.default_count -> COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR01,simple,default_risk,1,gpt-4o,False,,,SELECT loan.default_count FROM loan,"SELECT COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) FROM loan",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,989,14681,"MEASURE loan.default_count -> COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR01,simple,default_risk,2,gpt-4o,False,,,SELECT loan.default_count FROM loan,"SELECT COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) FROM loan",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,742,14681,"MEASURE loan.default_count -> COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR01,simple,default_risk,3,gpt-4o,False,,,SELECT loan.default_count FROM loan,"SELECT COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) FROM loan",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,1042,14681,"MEASURE loan.default_count -> COUNT(CASE WHEN loan.status IN ('B', 'D') THEN loan.loan_id END) | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR01,simple,default_risk,4,gpt-4o,True,,,SELECT COUNT(loan.loan_id) FROM loan WHERE loan.status = 'D',SELECT COUNT(loan.loan_id) FROM loan WHERE loan.status = 'D',SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,1455,14681,DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)
CR02,simple,default_risk,0,gpt-4o,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,1058,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR02,simple,default_risk,1,gpt-4o,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,708,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR02,simple,default_risk,2,gpt-4o,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,1036,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR02,simple,default_risk,3,gpt-4o,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,721,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR02,simple,default_risk,4,gpt-4o,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,742,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR03,simple,default_risk,0,gpt-4o,True,,,"SELECT SUM(loan.total_amount) 
FROM loan 
WHERE loan.status = 'D'","SELECT SUM(loan.amount) 
FROM loan 
WHERE loan.status = 'D'",SELECT SUM(amount) FROM loan WHERE status = 'D',What is the total outstanding loan amount for accounts currently in default?,1113,14690,"MEASURE loan.total_amount -> SUM(loan.amount) | DIM loan.status -> loan.status (no-op: concept name equals raw column) | COLLAPSED redundant double-aggregation: 'SELECT SUM(SUM(loan.amount)) 
FROM loan 
WHERE loan.status = 'D'' -> 'SELECT SUM(loan.amount) 
FROM loan 
WHERE loan.status = 'D''"
CR03,simple,default_risk,1,gpt-4o,True,,,"SELECT SUM(loan.total_amount) 
FROM loan 
WHERE loan.status = 'D'","SELECT SUM(loan.amount) 
FROM loan 
WHERE loan.status = 'D'",SELECT SUM(amount) FROM loan WHERE status = 'D',What is the total outstanding loan amount for accounts currently in default?,929,14690,"MEASURE loan.total_amount -> SUM(loan.amount) | DIM loan.status -> loan.status (no-op: concept name equals raw column) | COLLAPSED redundant double-aggregation: 'SELECT SUM(SUM(loan.amount)) 
FROM loan 
WHERE loan.status = 'D'' -> 'SELECT SUM(loan.amount) 
FROM loan 
WHERE loan.status = 'D''"
CR03,simple,default_risk,2,gpt-4o,True,,,"SELECT SUM(loan.total_amount)
FROM loan
WHERE loan.status = 'D'","SELECT SUM(loan.amount)
FROM loan
WHERE loan.status = 'D'",SELECT SUM(amount) FROM loan WHERE status = 'D',What is the total outstanding loan amount for accounts currently in default?,880,14690,"MEASURE loan.total_amount -> SUM(loan.amount) | DIM loan.status -> loan.status (no-op: concept name equals raw column) | COLLAPSED redundant double-aggregation: 'SELECT SUM(SUM(loan.amount))
FROM loan
WHERE loan.status = 'D'' -> 'SELECT SUM(loan.amount)
FROM loan
WHERE loan.status = 'D''"
CR03,simple,default_risk,3,gpt-4o,True,,,"SELECT SUM(loan.total_amount)
FROM loan
WHERE loan.status = 'D'","SELECT SUM(loan.amount)
FROM loan
WHERE loan.status = 'D'",SELECT SUM(amount) FROM loan WHERE status = 'D',What is the total outstanding loan amount for accounts currently in default?,928,14690,"MEASURE loan.total_amount -> SUM(loan.amount) | DIM loan.status -> loan.status (no-op: concept name equals raw column) | COLLAPSED redundant double-aggregation: 'SELECT SUM(SUM(loan.amount))
FROM loan
WHERE loan.status = 'D'' -> 'SELECT SUM(loan.amount)
FROM loan
WHERE loan.status = 'D''"
CR03,simple,default_risk,4,gpt-4o,True,,,"SELECT SUM(loan.total_amount)
FROM loan
WHERE loan.status = 'D'","SELECT SUM(loan.amount)
FROM loan
WHERE loan.status = 'D'",SELECT SUM(amount) FROM loan WHERE status = 'D',What is the total outstanding loan amount for accounts currently in default?,791,14690,"MEASURE loan.total_amount -> SUM(loan.amount) | DIM loan.status -> loan.status (no-op: concept name equals raw column) | COLLAPSED redundant double-aggregation: 'SELECT SUM(SUM(loan.amount))
FROM loan
WHERE loan.status = 'D'' -> 'SELECT SUM(loan.amount)
FROM loan
WHERE loan.status = 'D''"
CR04,simple,loan_portfolio,0,gpt-4o,True,,,"SELECT loan.duration, loan.avg_amount
FROM loan
GROUP BY loan.duration","SELECT loan.duration, AVG(loan.amount)
FROM loan
GROUP BY loan.duration","SELECT duration, AVG(amount) AS avg_amount FROM loan GROUP BY duration ORDER BY duration",What is the average loan amount by loan duration group?,1168,14644,MEASURE loan.avg_amount -> AVG(loan.amount) | DIM loan.duration -> loan.duration (no-op: concept name equals raw column)
