condition,question_id,iteration,is_correct,compile_error,execution_error,concept_sql,compiled_sql,gold_sql,latency_ms,prompt_chars
FULL,CR27,0,False,,"Generated SQL error: Execution failed on sql 'SELECT
     CAST(SUM(CASE WHEN CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT account.account_id) * 100
   FROM account
   JOIN disp ON disp.account_id = account.account_id JOIN card ON card.disp_id = disp.disp_id JOIN loan ON loan.account_id = account.account_id WHERE card.type = 'gold'
GROUP BY account.account_id': misuse of aggregate function COUNT()","SELECT
     CAST(SUM(CASE WHEN loan.default_rate > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT account.account_id) * 100
   FROM account
   JOIN disp ON disp.account_link
   JOIN card ON disp.card_link
   JOIN loan ON loan.account_link
   WHERE card.type = 'gold'
GROUP BY account.account_id","SELECT
     CAST(SUM(CASE WHEN CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT account.account_id) * 100
   FROM account
   JOIN disp ON disp.account_id = account.account_id JOIN card ON card.disp_id = disp.disp_id JOIN loan ON loan.account_id = account.account_id WHERE card.type = 'gold'
GROUP BY account.account_id","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT account.account_id) * 100 AS default_rate FROM account JOIN disp ON account.account_id = disp.account_id JOIN card ON disp.disp_id = card.disp_id JOIN loan ON account.account_id = loan.account_id WHERE card.type = 'gold'",5634,14103
FULL,CR27,1,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT
     CAST(SUM(CASE WHEN loan.default_rate > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT account.account_id) * 100
   FROM account
   JOIN disp ON disp.account_link
   JOIN card ON disp.card_link
   JOIN loan ON loan.account_link
   WHERE card.type = 'gold'
-- NOTE: The query counts accounts with gold cards, and applies a condition for those with loans in default using loan.default_rate.",,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT account.account_id) * 100 AS default_rate FROM account JOIN disp ON account.account_id = disp.account_id JOIN card ON disp.disp_id = card.disp_id JOIN loan ON account.account_id = loan.account_id WHERE card.type = 'gold'",7791,14103
FULL,CR27,2,False,,"Generated SQL error: Execution failed on sql 'SELECT
     CAST(SUM(CASE WHEN CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(account.account_id) * 100
   FROM account
   JOIN disp ON disp.account_id = account.account_id JOIN card ON card.disp_id = disp.disp_id JOIN loan ON loan.account_id = account.account_id WHERE card.type = 'gold' 
   AND loan.status IN ('B', 'D')': misuse of aggregate function COUNT()","SELECT
     CAST(SUM(CASE WHEN loan.default_rate > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(account.account_id) * 100
   FROM account
   JOIN disp ON disp.account_link
   JOIN card ON disp.card_link
   JOIN loan ON loan.account_link
   WHERE card.type = 'gold' 
   AND loan.status IN ('B', 'D')","SELECT
     CAST(SUM(CASE WHEN CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(account.account_id) * 100
   FROM account
   JOIN disp ON disp.account_id = account.account_id JOIN card ON card.disp_id = disp.disp_id JOIN loan ON loan.account_id = account.account_id WHERE card.type = 'gold' 
   AND loan.status IN ('B', 'D')","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT account.account_id) * 100 AS default_rate FROM account JOIN disp ON account.account_id = disp.account_id JOIN card ON disp.disp_id = card.disp_id JOIN loan ON account.account_id = loan.account_id WHERE card.type = 'gold'",2574,14103
FULL,CR27,3,False,,"Generated SQL error: Execution failed on sql 'SELECT
     CAST(SUM(CASE WHEN CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT account.account_id) * 100 AS proportion_default
   FROM account
   JOIN disp ON disp.account_id = account.account_id JOIN card ON card.disp_id = disp.disp_id JOIN loan ON loan.account_id = account.account_id WHERE card.type = 'gold'': misuse of aggregate function COUNT()","SELECT
     CAST(SUM(CASE WHEN loan.default_rate > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT account.account_id) * 100 AS proportion_default
   FROM account
   JOIN disp ON disp.account_link
   JOIN card ON disp.card_link
   LEFT JOIN loan ON loan.account_link
   WHERE card.type = 'gold'","SELECT
     CAST(SUM(CASE WHEN CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(DISTINCT account.account_id) * 100 AS proportion_default
   FROM account
   JOIN disp ON disp.account_id = account.account_id JOIN card ON card.disp_id = disp.disp_id JOIN loan ON loan.account_id = account.account_id WHERE card.type = 'gold'","SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT account.account_id) * 100 AS default_rate FROM account JOIN disp ON account.account_id = disp.account_id JOIN card ON disp.disp_id = card.disp_id JOIN loan ON account.account_id = loan.account_id WHERE card.type = 'gold'",2436,14103
FULL,CR27,4,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT
     CAST(SUM(CASE WHEN loan.default_rate > 0 THEN 1 ELSE 0 END) AS REAL)
       / COUNT(account.account_id) * 100
   FROM account
   JOIN disp ON account.disp_link
   JOIN card ON disp.card_link
   JOIN loan ON loan.account_link
   WHERE card.type = 'gold'
-- NOTE: loan.default_rate is used here as an indirect indicator for default; 
--       the actual statuses are not directly filtered since loan status 
--       codes such as B or D are not accessible as dimensions. 
--       Instead, we rely on default_rate as a measure for proportion calculations.",,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(DISTINCT account.account_id) * 100 AS default_rate FROM account JOIN disp ON account.account_id = disp.account_id JOIN card ON disp.disp_id = card.disp_id JOIN loan ON account.account_id = loan.account_id WHERE card.type = 'gold'",2890,14103
FULL,CR19,0,False,,,"SELECT AVG(card_withdrawal_count)
   FROM (
       SELECT account.account_id, COUNT(trans.trans_id) AS card_withdrawal_count
       FROM account
       JOIN loan ON loan.account_link
       JOIN trans ON trans.account_link
       WHERE loan.status = 'D' AND trans.operation_label = 'card_withdrawal'
       GROUP BY account.account_id
   ) AS monthly_withdrawals","SELECT AVG(card_withdrawal_count)
   FROM (
       SELECT account.account_id, COUNT(trans.trans_id) AS card_withdrawal_count
       FROM account
       JOIN loan ON loan.account_id = account.account_id JOIN trans ON trans.account_id = account.account_id WHERE loan.status = 'D' AND trans.operation = 'VYBER KARTOU'
       GROUP BY account.account_id
   ) AS monthly_withdrawals","SELECT AVG(monthly_count) FROM (SELECT trans.account_id, STRFTIME('%Y-%m', trans.date) AS month, COUNT(trans.trans_id) AS monthly_count FROM trans JOIN loan ON trans.account_id = loan.account_id WHERE trans.operation = 'VYBER KARTOU' AND loan.status = 'D' GROUP BY trans.account_id, month)",2645,14134
FULL,CR19,1,False,,"Generated SQL error: Execution failed on sql 'SELECT AVG(COUNT(trans.trans_id))
   FROM trans
   JOIN account ON trans.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id WHERE loan.status = 'D' AND trans.operation = 'VYBER KARTOU'
   GROUP BY strftime('%Y-%m', trans.date)': misuse of aggregate function COUNT()","SELECT AVG(trans.count)
   FROM trans
   JOIN account ON trans.account_link
   JOIN loan ON loan.account_link
   WHERE loan.status = 'D' AND trans.operation_label = 'card_withdrawal'
   GROUP BY strftime('%Y-%m', trans.trans_date)","SELECT AVG(COUNT(trans.trans_id))
   FROM trans
   JOIN account ON trans.account_id = account.account_id JOIN loan ON loan.account_id = account.account_id WHERE loan.status = 'D' AND trans.operation = 'VYBER KARTOU'
   GROUP BY strftime('%Y-%m', trans.date)","SELECT AVG(monthly_count) FROM (SELECT trans.account_id, STRFTIME('%Y-%m', trans.date) AS month, COUNT(trans.trans_id) AS monthly_count FROM trans JOIN loan ON trans.account_id = loan.account_id WHERE trans.operation = 'VYBER KARTOU' AND loan.status = 'D' GROUP BY trans.account_id, month)",2243,14134
FULL,CR19,2,True,,,"SELECT AVG(card_withdrawal_count)
   FROM (
       SELECT COUNT(trans.trans_id) AS card_withdrawal_count
       FROM account
       JOIN loan ON loan.account_link
       JOIN trans ON trans.account_link
       WHERE loan.status = 'D' AND trans.operation_label = 'card_withdrawal'
       GROUP BY account.account_id, strftime('%Y-%m', trans.trans_date)
   ) AS monthly_withdrawals","SELECT AVG(card_withdrawal_count)
   FROM (
       SELECT COUNT(trans.trans_id) AS card_withdrawal_count
       FROM account
       JOIN loan ON loan.account_id = account.account_id JOIN trans ON trans.account_id = account.account_id WHERE loan.status = 'D' AND trans.operation = 'VYBER KARTOU'
       GROUP BY account.account_id, strftime('%Y-%m', trans.date)
   ) AS monthly_withdrawals","SELECT AVG(monthly_count) FROM (SELECT trans.account_id, STRFTIME('%Y-%m', trans.date) AS month, COUNT(trans.trans_id) AS monthly_count FROM trans JOIN loan ON trans.account_id = loan.account_id WHERE trans.operation = 'VYBER KARTOU' AND loan.status = 'D' GROUP BY trans.account_id, month)",2415,14134
FULL,CR19,3,True,,,"SELECT AVG(card_withdrawal_count) 
   FROM (
       SELECT COUNT(trans.trans_id) AS card_withdrawal_count
       FROM account
       JOIN loan ON loan.account_link
       JOIN trans ON trans.account_link
       WHERE loan.status = 'D' AND trans.operation_label = 'card_withdrawal'
       GROUP BY account.account_id, strftime('%Y-%m', trans.trans_date) 
   ) AS monthly_withdrawals","SELECT AVG(card_withdrawal_count) 
   FROM (
       SELECT COUNT(trans.trans_id) AS card_withdrawal_count
       FROM account
       JOIN loan ON loan.account_id = account.account_id JOIN trans ON trans.account_id = account.account_id WHERE loan.status = 'D' AND trans.operation = 'VYBER KARTOU'
       GROUP BY account.account_id, strftime('%Y-%m', trans.date) 
   ) AS monthly_withdrawals","SELECT AVG(monthly_count) FROM (SELECT trans.account_id, STRFTIME('%Y-%m', trans.date) AS month, COUNT(trans.trans_id) AS monthly_count FROM trans JOIN loan ON trans.account_id = loan.account_id WHERE trans.operation = 'VYBER KARTOU' AND loan.status = 'D' GROUP BY trans.account_id, month)",2089,14134
FULL,CR19,4,True,,,"SELECT AVG(card_withdrawal_count) 
   FROM (
       SELECT COUNT(trans.trans_id) AS card_withdrawal_count
       FROM account
       JOIN loan ON loan.account_link
       JOIN trans ON trans.account_link
       WHERE loan.status = 'D' AND trans.operation_label = 'card_withdrawal'
       GROUP BY account.account_id, strftime('%Y-%m', trans.trans_date)
   ) AS monthly_withdrawals","SELECT AVG(card_withdrawal_count) 
   FROM (
       SELECT COUNT(trans.trans_id) AS card_withdrawal_count
       FROM account
       JOIN loan ON loan.account_id = account.account_id JOIN trans ON trans.account_id = account.account_id WHERE loan.status = 'D' AND trans.operation = 'VYBER KARTOU'
       GROUP BY account.account_id, strftime('%Y-%m', trans.date)
   ) AS monthly_withdrawals","SELECT AVG(monthly_count) FROM (SELECT trans.account_id, STRFTIME('%Y-%m', trans.date) AS month, COUNT(trans.trans_id) AS monthly_count FROM trans JOIN loan ON trans.account_id = loan.account_id WHERE trans.operation = 'VYBER KARTOU' AND loan.status = 'D' GROUP BY trans.account_id, month)",3255,14134
