question_id,difficulty,method,is_correct,error,latency_ms,prompt_chars,generated_sql,gold_sql,question
89,moderate,text_to_sql,False,,2784,2506,"SELECT COUNT(DISTINCT account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id
   JOIN trans ON account.account_id = trans.account_id
   WHERE district.A3 = 'East Bohemia' AND trans.operation = 'POPLATEK PO OBRATU'",SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'east Bohemia' AND T2.frequency = 'POPLATEK PO OBRATU',How many accounts who choose issuance after transaction are staying in East Bohemia region?
89,moderate,semantic_layer,False,,1899,7728,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id
   WHERE account.frequency = 'POPLATEK PO OBRATU' AND district.A3 = 'East Bohemia'",SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'east Bohemia' AND T2.frequency = 'POPLATEK PO OBRATU',How many accounts who choose issuance after transaction are staying in East Bohemia region?
90,simple,text_to_sql,True,,1224,2415,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id
   JOIN loan ON account.account_id = loan.account_id
   WHERE district.A3 = 'Prague'",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',How many accounts who have region in Prague are eligible for loans?
90,simple,semantic_layer,True,,2516,7637,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id
   JOIN loan ON account.account_id = loan.account_id
   WHERE district.A3 = 'Prague'
-- NOTE: ""eligible for loans"" = has a record in the loan table. Do NOT filter by loan.status.",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',How many accounts who have region in Prague are eligible for loans?
91,simple,text_to_sql,False,,1651,2473,"SELECT 
   AVG(district.A12) AS avg_unemployment_1995, 
   AVG(district.A13) AS avg_unemployment_1996
FROM 
   district
GROUP BY 
   district.district_id
HAVING 
   avg_unemployment_1995 > avg_unemployment_1996
ORDER BY 
   avg_unemployment_1995 DESC 
LIMIT 1;","SELECT DISTINCT IIF(AVG(A13) > AVG(A12), '1996', '1995') FROM district","The average unemployment ratio of 1995 and 1996, which one has higher percentage?"
91,simple,semantic_layer,True,,2605,7695,"SELECT CASE 
           WHEN AVG(district.A12) > AVG(district.A13) THEN '1995' 
           ELSE '1996' 
       END AS higher_unemployment_year
FROM district;","SELECT DISTINCT IIF(AVG(A13) > AVG(A12), '1996', '1995') FROM district","The average unemployment ratio of 1995 and 1996, which one has higher percentage?"
92,simple,text_to_sql,True,,1176,2476,"SELECT COUNT(DISTINCT district.district_id)
   FROM district
   JOIN client ON district.district_id = client.district_id
   WHERE client.gender = 'F' AND district.A11 > 6000 AND district.A11 < 10000",SELECT COUNT(DISTINCT T2.district_id)  FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T2.A11 BETWEEN 6000 AND 10000,List out the no. of districts that have female average salary is more than 6000 but less than 10000?
92,simple,semantic_layer,True,,1458,7698,"SELECT COUNT(DISTINCT district.district_id)
FROM district
JOIN client ON district.district_id = client.district_id
WHERE client.gender = 'F' AND district.A11 > 6000 AND district.A11 < 10000",SELECT COUNT(DISTINCT T2.district_id)  FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T2.A11 BETWEEN 6000 AND 10000,List out the no. of districts that have female average salary is more than 6000 but less than 10000?
93,moderate,text_to_sql,False,,1550,2494,"SELECT COUNT(DISTINCT client.client_id)
   FROM client
   JOIN district ON client.district_id = district.district_id
   WHERE client.gender = 'M' AND district.A3 = 'North Bohemia' AND district.A11 > 8000",SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'M' AND T2.A3 = 'north Bohemia' AND T2.A11 > 8000,How many male customers who are living in North Bohemia have average salary greater than 8000?
93,moderate,semantic_layer,False,,1506,7716,"SELECT COUNT(DISTINCT client.client_id)
   FROM client
   JOIN district ON client.district_id = district.district_id
   WHERE client.gender = 'M' AND district.A3 = 'North Bohemia' AND district.A11 > 8000",SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'M' AND T2.A3 = 'north Bohemia' AND T2.A11 > 8000,How many male customers who are living in North Bohemia have average salary greater than 8000?
